species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Sparus-aurata,nonvenomous,"Marine; brackish;  demersal; depth range 1 - 150 m (Ref. 35388), usually 1 - 30 m (Ref. 54890). Subtropical; 62°N -   15°N, 17°W -   43°E (Ref. 54890)","Preferred temperature (Ref. 123201): 12.1 - 21, mean 17.8 °C (based on 258 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01202 (0.01083 - 0.01334), b=3.02 (2.99 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.2 (3.0 - 6.4) years. Estimated as median ln(3)/K based on 12 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.28; tmax=11; tm=2-3).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (40 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (41 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",12.1,21
Sphaeramia-orbicularis,nonvenomous,"Marine;  reef-associated; depth range 0 - 5 m (Ref. 9710). Tropical; 31°N -   27°S, 32°E -   173°W","Preferred temperature (Ref. 123201): 26.3 - 29.3, mean 28.6 °C (based on 2452 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02138 (0.01200 - 0.03810), b=3.07 (2.91 - 3.23), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.51 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",26.3,29.3
Collichthys-lucidus,nonvenomous,Marine;  demersal; oceanodromous (Ref. 51243); depth range ? - 90 m (Ref. 11230). Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Perca-flavescens,nonvenomous,"Freshwater; brackish;  benthopelagic; depth range 0 - 56 m (Ref. 11004), usually ? - 9 m (Ref. 1998). Subtropical; 0°C - 30°C (Ref. 35682); 66°N -   30°N, 124°W -   59°W (Ref. 86798)","Nutrients  (Ref. 124155):  Calcium = 30.3 [13.5, 69.8] mg/100g ; Iron = 0.379 [0.205, 0.696] mg/100g ; Protein = 17.5 [16.4, 18.6] % ; Omega3 = 0.157 [0.070, 0.345] g/100g ; Selenium = 18.5 [6.2, 51.4] μg/100g ; VitaminA = 26.1 [11.2, 61.2] μg/100g ; Zinc = 0.785 [0.530, 1.181] mg/100g (wet weight); based on nutrient studies.",0,30
Anabarilius-grahami,nonvenomous,Freshwater;  benthopelagic. Subtropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00617 (0.00286 - 0.01328), b=3.08 (2.91 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Oreochromis-niloticus,nonvenomous,"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 0 - 20 m (Ref. 32849), usually ? - 20 m (Ref. 34290). Tropical; 14°C - 33°C (Ref. 3); 32°N -   5°S, 17°W -   38°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01820 (0.01525 - 0.02172), b=2.98 (2.94 - 3.02), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 (2.2 - 3.9) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.14-0.41; tm=1-2; tmax=9; Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",14,33
Maylandia-zebra,nonvenomous,Freshwater;  demersal; pH range: 8.0 - 8.0; dH range: 9 - 19; depth range 6 - 28 m. Tropical; 22°C - 28°C (Ref. 1672); 8°S -   15°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",22,28
Seriola-lalandi,nonvenomous,"Marine; brackish;  benthopelagic; depth range 3 - 825 m (Ref. 4517). Subtropical; 18°C - 24°C (Ref. 6390); 55°N -   57°S, 180°W -   180°E","Preferred temperature (Ref. 123201): 9 - 23, mean 14.9 °C (based on 1169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01862 (0.01003 - 0.03456), b=2.92 (2.75 - 3.09), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13; tm=2; tmax=12).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",18,24
Seriola-dumerili,nonvenomous,"Marine;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - 385 m (Ref. 11441), usually 18 - 72 m (Ref. 9626). Subtropical; 49°N -   36°S, 98°W -   128°E","Preferred temperature (Ref. 123201): 16.9 - 29, mean 27.1 °C (based on 3486 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01738 (0.01336 - 0.02261), b=2.91 (2.83 - 2.99), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 5.5 (3.9 - 5.8) years. Estimated as median ln(3)/K based on 11 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.18; tm=4; tmax=15).					
								
					
						 Prior r = 0.59, 95% CL = 0.39 - 0.89, Based on 4 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (62 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",16.9,29
Cyprinodon-variegatus,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 45°N -   0°N, 98°W -   49°W","Preferred temperature (Ref. 123201): 15.4 - 27.7, mean 26.7 °C (based on 572 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02692 (0.01222 - 0.05929), b=3.12 (2.92 - 3.32), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.1 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm<1 and Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 200 [104, 445] mg/100g ; Iron = 1.36 [0.70, 2.71] mg/100g ; Protein = 17 [16, 18] % ; Omega3 = 0.251 [0.113, 0.552] g/100g ; Selenium = 10.3 [4.6, 25.5] μg/100g ; VitaminA = 21.2 [5.7, 77.3] μg/100g ; Zinc = 1.99 [1.28, 3.21] mg/100g (wet weight);",15.4,27.7
Pundamilia-nyererei,nonvenomous,Freshwater;  benthopelagic; depth range 1 - 4 m (Ref. 4983). Tropical; 22°C - 28°C (Ref. 12468); 1°N -   3°S,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,28
Dissostichus-eleginoides,nonvenomous,"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 0 - 2144 m (Ref. 127764), usually 70 - 1500 m (Ref. 2121). Temperate; 33°S -   66°S, 77°W -   180°E (Ref. 54228)","Preferred temperature (Ref. 123201): 1.8 - 8.8, mean 4.5 °C (based on 1109 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00631 (0.00362 - 0.01099), b=3.15 (2.99 - 3.31), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.8 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Fec=230,000; tmax>=21).					
								
					
						 Prior r = 0.38, 95% CL = 0.25 - 0.57, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (71 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",1.8,8.8
Acipenser-oxyrinchus,nonvenomous,"Marine; freshwater; brackish;  demersal; anadromous (Ref. 51243); depth range 1 - 46 m (Ref. 4639). Subtropical; 56°N -   10°S, 102°W -   33°W (Ref. 54265)","Preferred temperature (Ref. 123201): 4.3 - 24.4, mean 17.3 °C (based on 268 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00191 (0.00103 - 0.00352), b=3.19 (3.03 - 3.35), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.50 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.03; tm=7-34; tmax=60; Fec=1.03 million).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (85 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4.3,24.4
Lates-japonicus,nonvenomous,Marine; freshwater; brackish;  demersal. Subtropical; 45°N -   24°N,,,
Merluccius-polli,nonvenomous,"Marine;  bathydemersal; non-migratory; depth range 50 - 1248 m (Ref. 112558), usually 50 - 550 m (Ref. 58452). Deep-water; 29°N -   19°S, 19°W -   15°E (Ref. 58452)","Preferred temperature (Ref. 123201): 7.3 - 19.8, mean 14.2 °C (based on 93 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00447 (0.00242 - 0.00825), b=3.09 (2.93 - 3.25), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.63 se; based on food items.					

				
					
					
						 Generation time: 2.8 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.39(?); assuming tm>=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (35 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (58 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",7.3,19.8
Alosa-alosa,nonvenomous,"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 89642); depth range 10 - 300 m (Ref. 10536). Temperate; 61°N -   20°N, 17°W -   22°E","Preferred temperature (Ref. 123201): 7 - 15.6, mean 10.1 °C (based on 480 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00525 - 0.00794), b=3.08 (3.04 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.19-0.29; tm=3.5; tmax=10).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (36 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (47 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",7,15.6
Megalobrama-amblycephala,nonvenomous,Freshwater;  benthopelagic; depth range 5 - 20 m (Ref. 6898). Temperate; 10°C - 20°C (Ref. 13614); 32°N -   23°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00912 (0.00760 - 0.01094), b=3.10 (3.05 - 3.15), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,20
Girardinichthys-multiradiatus,nonvenomous,Freshwater;  demersal; pH range: 6.0 - 7.5; dH range: ? - 15. Temperate; 12°C - 20°C (Ref. 2060); 21°N -   19°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",12,20
Micropterus-dolomieu,nonvenomous,"Freshwater;  benthopelagic; depth range 1 - 7 m (Ref. 120820). Subtropical; 9°C - 30°C (Ref. 1998); 50°N -   33°N, 95°W -   63°W (Ref. 86798)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01096 (0.00898 - 0.01339), b=3.05 (2.99 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 6.8 (5.2 - 7.3) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.28; tm=3-6; tmax=14; Fec=5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (49 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",9,30
Scatophagus-argus,venomous,"Marine; freshwater; brackish;  demersal; amphidromous (Ref. 51243); depth range 0 - 5 m (Ref. 90102). Tropical; 20°C - 28°C (Ref. 13371); 35°N -   33°S, 48°E -   171°W","Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.6 °C (based on 2701 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.8125   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.03236 (0.02371 - 0.04416), b=2.92 (2.83 - 3.01), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.35 se; based on food items.					

				
					
					
						 Generation time: 0.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=1; Fec=337,309; K=1.2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Low.",20,28
Salmo-salar,nonvenomous,NA,NA,,
Coregonus-clupeaformis,nonvenomous,"Freshwater; brackish;  benthopelagic; anadromous (Ref. 120291); depth range 8 - 128 m (Ref. 3849). Temperate; 8°C - 14°C (Ref. 1998); 72°N -   41°N, 149°W -   61°W (Ref. 86798)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00550 (0.00475 - 0.00635), b=3.23 (3.19 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 5.0 (4.2 - 6.4) years. Estimated as median ln(3)/K based on 34 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.06-0.19; tmax=50).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",8,14
Gambusia-affinis,nonvenomous,Freshwater; brackish;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19; potamodromous. Subtropical; 12°C - 29°C (Ref. 52055); 42°N -   26°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00673 - 0.01028), b=3.13 (3.07 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 1.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=1.20; tmax=3; Fec=10-60).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",12,29
Oncorhynchus-tshawytscha,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 375 m (Ref. 58426). Temperate; 0°C - 25°C (Ref. 35682); 71°N -   27°N, 136°E -   112°W (Ref. 54251)","Preferred temperature (Ref. 123201): 0.7 - 8, mean 3.5 °C (based on 561 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00482 - 0.02276), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.7 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=4; tmax=9; Fec=4,000).					
								
					
						 Prior r = 0.38, 95% CL = 0.25 - 0.57, Based on 4 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (52 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",0,25
Melanotaenia-boesemani,nonvenomous,Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19. Tropical; 27°C - 30°C (Ref. 2060); 1°S -   2°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",27,30
Cheilinus-undulatus,nonvenomous,Marine;  reef-associated; depth range 0 - 100 m (Ref. 58652). Tropical; 30°N -   23°S,"Preferred temperature (Ref. 123201): 24.9 - 28.8, mean 27.5 °C (based on 580 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.01141 - 0.01917), b=2.97 (2.89 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.61 se; based on food items.					

				
					
					
						 Generation time: 27.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm = 5-7; tmax = 32).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (74 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",24.9,28.8
Oryzias-melastigma,nonvenomous,Freshwater; brackish;  benthopelagic. Tropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Amblyraja-radiata,nonvenomous,"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 5 - 1540 m (Ref. 117245), usually 25 - 440 m (Ref. 114953). Boreal; -1°C - 14°C (Ref. 49751); 79°N -   38°N, 95°W -   54°E (Ref. 55275)","Preferred temperature (Ref. 123201): -0.8 - 5, mean 1 °C (based on 340 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5010   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00331 (0.00284 - 0.00386), b=3.23 (3.19 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.17; tm=4; Fec=13-20).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (51 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",-1,14
Polypterus-senegalus,nonvenomous,"Freshwater;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19; potamodromous (Ref. 51243). Tropical; 25°C - 28°C (Ref. 2060); 16°N -   2°S, 17°W -   37°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5002   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00457 (0.00321 - 0.00651), b=2.98 (2.88 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tmax=34 in Aquarium; Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (54 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25,28
Salvelinus-namaycush,nonvenomous,"Freshwater;  benthopelagic; non-migratory; depth range 3 - 61 m (Ref. 120394), usually 18 - 53 m (Ref. 1998). Temperate; 4°C - 13°C (Ref. 120394); 75°N -   38°N, 168°W -   67°W (Ref. 86798)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00713 - 0.00971), b=3.02 (2.98 - 3.06), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.3   ±0.5 se; based on diet studies.					

				
					
					
						 Generation time: 9.0 (4.5 - 12.2) years. Estimated as median ln(3)/K based on 12 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.05-0.12; tm=5-20; tmax=50; Fec=5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (64 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",4,13
