species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Hyperoplus-immaculatus,"Marine;  demersal. Temperate; 58°N -   48°N, 11°W -   9°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 9.2 - 12.3, mean 10.8 °C (based on 144 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00355 (0.00174 - 0.00724), b=3.03 (2.85 - 3.21), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.77 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100).",9.2,12.3
Myripristis-murdjan,Marine;  reef-associated; depth range 1 - 50 m (Ref. 9710). Tropical; 30°N -   35°S,nonvenomous,Reports of ciguatera poisoning (Ref. 4690),"Preferred temperature (Ref. 123201): 24.7 - 29, mean 28 °C (based on 1080 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01820 (0.01108 - 0.02990), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",24.7,29
Thalassophryne-amazonica,Freshwater;  demersal. Tropical,venomous,Venomous (Ref. 30721),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00501 (0.00190 - 0.01323), b=3.15 (2.92 - 3.38), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Seriola-lalandi,"Marine; brackish;  benthopelagic; depth range 3 - 825 m (Ref. 4517). Subtropical; 18°C - 24°C (Ref. 6390); 55°N -   57°S, 180°W -   180°E",nonvenomous,Harmless (Ref. 4795),"Preferred temperature (Ref. 123201): 9 - 23, mean 14.9 °C (based on 1169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01862 (0.01003 - 0.03456), b=2.92 (2.75 - 3.09), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13; tm=2; tmax=12).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",9,23
Seriola-aureovittata,"Marine; brackish;  benthopelagic; depth range 3 - 825 m (Ref. 4517). Subtropical; 18°C - 24°C (Ref. 6390); 55°N -   57°S, 180°W -   180°E",nonvenomous,Harmless (Ref. 4795),"Preferred temperature (Ref. 123201): 9 - 23, mean 14.9 °C (based on 1169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01862 (0.01003 - 0.03456), b=2.92 (2.75 - 3.09), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13; tm=2; tmax=12).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",9,23
Melanotaenia-boesemani,Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19. Tropical; 27°C - 30°C (Ref. 2060); 1°S -   2°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",27,30
Chelmon-rostratus,Marine; brackish;  reef-associated; non-migratory; depth range 1 - 25 m (Ref. 9710). Tropical,nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 24.7 - 29.3, mean 28.5 °C (based on 3215 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00431 - 0.03057), b=3.09 (2.87 - 3.31), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.37 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24.7,29.3
Nibea-albiflora,"Marine;  benthopelagic; depth range 25 - 80 m (Ref. 11230). Temperate; 39°N -   18°N, 105°E -   135°E",nonvenomous,Harmless,"Nutrients  (Ref. 124155):  Calcium = 33.4 [17.5, 69.7] mg/100g ; Iron = 0.315 [0.149, 0.588] mg/100g ; Protein = 18.8 [17.5, 20.1] % ; Omega3 = 0.603 [0.290, 1.145] g/100g ; Selenium = 14.9 [6.8, 31.8] μg/100g ; VitaminA = 16.9 [4.2, 71.0] μg/100g ; Zinc = 0.529 [0.363, 0.798] mg/100g (wet weight);",,
Gasterosteus-aculeatus,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 100 m (Ref. 50550). Subtropical; 4°C - 20°C (Ref. 1672); 72°N -   25°N, 117°E -   60°E (Ref. 26213)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 2 - 13.5, mean 8 °C (based on 2296 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00665 - 0.01435), b=3.09 (2.98 - 3.20), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.6-1.8; tm=1; tmax=4; Fec=80).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (26 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,20
Pungitius-pungitius,"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 110 m (Ref. 58426), usually 70 - 77 m (Ref. 1998). Boreal; 10°C - 20°C (Ref. 1672); 82°N -   35°N, 180°W -   180°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 0.4 - 10.2, mean 4.1 °C (based on 169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00490 (0.00255 - 0.00942), b=3.01 (2.83 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2; tmax=5; Fec=350).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",0.4,10.2
Archocentrus-centrarchus,Freshwater;  benthopelagic. Tropical; 26°C - 36°C (Ref. 36880),nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02291 (0.01073 - 0.04890), b=3.07 (2.89 - 3.25), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.28 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",26,36
Taurulus-bubalis,"Marine; brackish;  demersal; non-migratory; depth range 0 - 200 m (Ref. 58496). Temperate; 72°N -   35°N, 24°W -   33°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 7 - 11.9, mean 9.5 °C (based on 421 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00794 (0.00388 - 0.01628), b=3.13 (2.96 - 3.30), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.52 se; based on food items.					

				
					
					
						 Generation time: 5.3 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.21-.025).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 75.1 [30.9, 174.5] mg/100g ; Iron = 0.399 [0.190, 0.842] mg/100g ; Protein = 18.1 [15.9, 20.1] % ; Omega3 = 1.18 [0.50, 3.33] g/100g ; Selenium = 11.2 [5.3, 26.1] μg/100g ; VitaminA = 26.9 [9.5, 74.9] μg/100g ; Zinc = 0.854 [0.567, 1.511] mg/100g (wet weight);",7,11.9
Salarias-fasciatus,"Marine; brackish;  reef-associated; depth range 0 - 8 m (Ref. 9710). Tropical; 30°N -   23°S, 32°E -   169°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.5 °C (based on 2623 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00448 - 0.01616), b=3.02 (2.85 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25.4,29.3
Toxotes-jaculatrix,Freshwater; brackish;  pelagic-neritic; amphidromous (Ref. 51243). Tropical; 25°C - 30°C (Ref. 1672),nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01660 (0.00632 - 0.04360), b=3.00 (2.77 - 3.23), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.27 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25,30
Oreochromis-niloticus,"Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 0 - 20 m (Ref. 32849), usually ? - 20 m (Ref. 34290). Tropical; 14°C - 33°C (Ref. 3); 32°N -   5°S, 17°W -   38°E",nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01820 (0.01525 - 0.02172), b=2.98 (2.94 - 3.02), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 (2.2 - 3.9) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.14-0.41; tm=1-2; tmax=9; Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",14,33
Barbatula-barbatula,"Freshwater;  demersal; pH range: 7.0 - 7.7; dH range: 10 - 15; potamodromous (Ref. 51243). Temperate;  ? - 18°C (Ref. 13371); 67°N -   39°N, 6°W -   59°E",nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00398 - 0.02511), b=3.04 (2.82 - 3.26), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.6 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=2-3).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (37 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",,
Chelon-labrosus,"Marine; freshwater; brackish;  demersal; catadromous (Ref. 46888). Subtropical; 65°N -   12°N, 24°W -   36°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 8.8 - 20.1, mean 11 °C (based on 420 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00724 (0.00562 - 0.00934), b=3.11 (3.03 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.6   ±0.32 se; based on food items.					

				
					
					
						 Generation time: 5.8 (3.8 - 9.2) years. Estimated as median ln(3)/K based on 10 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.12-0.17; tm=3; tmax=25).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (63 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (51 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",8.8,20.1
Stegastes-partitus,"Marine;  reef-associated; non-migratory; depth range 0 - 100 m (Ref. 9626). Tropical; 33°N -   5°S, 98°W -   34°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 24.2 - 28, mean 26.9 °C (based on 262 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00569 - 0.02662), b=3.06 (2.87 - 3.25), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 123 [65, 204] mg/100g ; Iron = 0.889 [0.533, 1.467] mg/100g ; Protein = 18.2 [17.1, 19.3] % ; Omega3 = 0.157 [0.098, 0.256] g/100g ; Selenium = 30.7 [16.8, 59.7] μg/100g ; VitaminA = 111 [31, 375] μg/100g ; Zinc = 2.37 [1.62, 3.37] mg/100g (wet weight);",24.2,28
Gymnoscopelus-microlampas,Marine;  bathypelagic; oceanodromous (Ref. 51243); depth range 200 - 500 m (Ref. 58018). Deep-water; 54°S -   55°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00437 (0.00196 - 0.00970), b=3.16 (2.96 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Oreochromis-aureus,Freshwater; brackish;  benthopelagic; potamodromous (Ref. 51243); depth range 5 - ? m. Tropical; 8°C - 30°C (Ref. 2); 35°N -   10°N,nonvenomous,Potential pest (Ref. 6465),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01778 (0.01389 - 0.02277), b=2.99 (2.95 - 3.03), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.1   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 2.2 (0.3 - 4.4) years. Estimated as median ln(3)/K based on 10 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.48-0.58; tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",8,30
Trachurus-trachurus,"Marine;  pelagic-neritic; oceanodromous (Ref. 51243); depth range 0 - 1050 m (Ref. 54256), usually 100 - 200 m (Ref. 54256). Subtropical; 67°N -   38°S, 26°W -   42°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 10.6 - 16.6, mean 13.3 °C (based on 165 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00813 (0.00741 - 0.00891), b=2.96 (2.94 - 2.98), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 6.5 (5.1 - 7.6) years. Estimated as median ln(3)/K based on 25 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.12-0.16; tm=2-4; tmax=11; Fec=70,000).					
								
					
						 Prior r = 0.46, 95% CL = 0.31 - 0.72, Based on 11 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low vulnerability (25 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",10.6,16.6
Cyprinodon-variegatus,"Marine; freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 45°N -   0°N, 98°W -   49°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 15.4 - 27.7, mean 26.7 °C (based on 572 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02692 (0.01222 - 0.05929), b=3.12 (2.92 - 3.32), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.4   ±0.1 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm<1 and Fec<1000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 200 [104, 445] mg/100g ; Iron = 1.36 [0.70, 2.71] mg/100g ; Protein = 17 [16, 18] % ; Omega3 = 0.251 [0.113, 0.552] g/100g ; Selenium = 10.3 [4.6, 25.5] μg/100g ; VitaminA = 21.2 [5.7, 77.3] μg/100g ; Zinc = 1.99 [1.28, 3.21] mg/100g (wet weight);",15.4,27.7
Siganus-unimaculatus,"Marine;  reef-associated; depth range ? - 30 m (Ref. 58652), usually 1 - 30 m (Ref. 27115). Tropical; 30°N -   30°S",venomous,Venomous,"Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.2 °C (based on 1226 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01445 (0.00650 - 0.03213), b=3.08 (2.90 - 3.26), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.30 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (14 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",25.4,29.1
Siganus-puellus,"Marine;  reef-associated; depth range 1 - 30 m (Ref. 9710), usually 2 - 30 m (Ref. 27115). Tropical; 22°C - 27°C (Ref. 27115); 32°N -   25°S, 97°E -   174°W",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 24.7 - 29, mean 27.7 °C (based on 722 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00713 - 0.02124), b=2.98 (2.84 - 3.12), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (28 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",24.7,29
Misgurnus-anguillicaudatus,Freshwater;  demersal; depth range 5 - ? m (Ref. 27732). Subtropical; 5°C - 25°C (Ref. 2060); 53°N -   27°S,nonvenomous,Potential pest (Ref. 8923),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00490 (0.00430 - 0.00558), b=3.07 (3.03 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec=2000 eggs).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (31 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",5,25
Neolamprologus-brichardi,Freshwater;  benthopelagic; pH range: 8.0 - 9.0; dH range: 9 - 19. Tropical; 22°C - 25°C (Ref. 1672); 3°S -   6°S,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,25
Melanostigma-gelatinosum,Marine;  bathypelagic; depth range 44 - 2561 m (Ref. 6609). Deep-water; 30°S -,nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 1.9 - 8.7, mean 5.1 °C (based on 631 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00324 (0.00135 - 0.00773), b=3.15 (2.93 - 3.37), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (19 of 100).",1.9,8.7
